,cantPalabras,cantUsuarios,cantTweets,cantTotal
buenosaires,191919,920,1125042,8974372
catamarca,173104,957,1057019,8161309
chaco,169476,964,976943,7605991
chubut,182592,954,1023373,8884745
cordoba,207307,987,1224266,10075932
corrientes,183292,939,1044951,8426940
entrerios,188679,969,1193693,9462986
formosa,169254,903,923352,7184382
jujuy,171064,971,678004,5951778
lapampa,186593,935,1085757,8996318
larioja,186041,946,704044,6757277
mendoza,193708,945,1099717,9402399
misiones,168400,972,984218,7790197
neuquen,188038,927,1111201,9021449
rionegro,194383,965,1215361,9991831
salta,188402,884,830916,7506652
sanjuan,183546,926,1002322,8377792
sanluis,164185,896,1006464,8327093
santacruz,174089,935,876621,7432923
santafe,201879,937,1019620,8862328
santiago,166540,887,944109,7355729
tierradelfuego,197273,964,976426,8559218
tucuman,195643,962,1093874,9238526
