buenosairesPalabras,8616596
catamarcaPalabras,7843825
chacoPalabras,7314125
chubutPalabras,8537593
cordobaPalabras,9659336
corrientesPalabras,8078213
entreriosPalabras,9106679
formosaPalabras,6893563
jujuyPalabras,5650269
lapampaPalabras,8649666
lariojaPalabras,6369984
mendozaPalabras,9028190
misionesPalabras,7483164
neuquenPalabras,8672402
rionegroPalabras,9608800
saltaPalabras,7150676
sanjuanPalabras,8026692
sanluisPalabras,8044727
santacruzPalabras,7118572
santafePalabras,8459296
santiagoPalabras,7064774
tierradelfuegoPalabras,8169884
tucumanPalabras,8842179
